1834 1772 1749 1725 1644 1625 1648 1586 1497 1335 1029 1072 1389 1547 1632 1640 1613 1671 1772 1737 1764 1721 1625 1814
1783 1690 1656 1710 1640 1605 1644 1571 1582 1396 1110 1280 1478 1574 1725 1822 1737 1683 1702 1729 1710 1733 1725 1636
1776 1721 1656 1640 1687 1787 1721 1555 1555 1532 1350 1389 1482 1536 1710 1779 1814 1872 1783 1752 1760 1737 1687 1671
1779 1718 1694 1756 1791 1888 1779 1540 1663 1663 1385 1416 1660 1636 1559 1706 1791 1710 1737 1795 1749 1749 1760 1768
1702 1690 1787 1822 1822 1807 1660 1551 1636 1617 1099 1238 1749 1636 1571 1644 1737 1706 1698 1698 1745 1772 1787 1737
1710 1725 1830 1791 1799 1745 1636 1679 1636 1497 723 917 1675 1644 1729 1718 1683 1733 1779 1810 1810 1768 1741 1718
1729 1714 1752 1795 1718 1648 1652 1698 1667 1323 619 685 1482 1745 1706 1694 1648 1660 1702 1768 1822 1779 1714 1733
1768 1702 1706 1737 1652 1675 1694 1613 1559 1211 526 588 1261 1729 1818 1675 1660 1675 1698 1710 1714 1737 1702 1690
1764 1687 1706 1733 1698 1698 1663 1571 1532 1207 545 580 1149 1594 1783 1721 1702 1660 1702 1760 1741 1756 1760 1671
1710 1660 1721 1733 1640 1598 1598 1571 1400 1246 619 530 1207 1470 1590 1574 1636 1729 1729 1737 1768 1756 1733 1714
1764 1768 1810 1745 1679 1613 1640 1613 1451 1396 878 808 1346 1451 1482 1555 1567 1605 1675 1714 1745 1799 1776 1710
1772 1810 1721 1675 1698 1613 1667 1598 1513 1420 1257 1296 1416 1451 1381 1516 1516 1505 1671 1675 1706 1729 1675 1683
1826 1725 1660 1714 1609 1578 1772 1660 1489 1447 1304 1331 1400 1431 1447 1447 1443 1478 1567 1640 1640 1636 1687 1648
1818 1710 1675 1718 1632 1551 1609 1563 1474 1505 1300 1277 1385 1389 1516 1474 1412 1485 1501 1571 1617 1636 1687 1694
1760 1694 1617 1594 1578 1478 1528 1613 1513 1389 1277 1284 1292 1354 1474 1482 1489 1501 1501 1551 1598 1617 1609 1663
1733 1602 1605 1605 1551 1478 1536 1656 1532 1396 1249 1207 1335 1396 1462 1501 1501 1497 1540 1563 1551 1567 1586 1602
1714 1598 1590 1571 1590 1559 1528 1609 1578 1451 1304 1261 1323 1408 1470 1489 1478 1501 1532 1520 1516 1536 1555 1598
1679 1598 1594 1520 1505 1559 1513 1605 1547 1408 1195 1091 1273 1385 1431 1478 1501 1485 1478 1505 1509 1516 1528 1605
1671 1571 1540 1470 1416 1505 1505 1578 1505 1528 1091 948 1362 1366 1447 1478 1466 1416 1489 1536 1598 1586 1485 1563
1660 1547 1543 1513 1455 1509 1540 1613 1482 1516 1079 909 1408 1323 1373 1509 1547 1520 1513 1528 1524 1547 1509 1493
1632 1598 1532 1451 1462 1513 1586 1528 1354 1381 1010 700 1137 1416 1412 1513 1613 1485 1478 1509 1424 1505 1528 1513
1636 1582 1555 1458 1497 1543 1563 1404 1377 1191 832 727 867 1408 1466 1400 1493 1513 1443 1424 1497 1485 1466 1528
1594 1598 1613 1520 1497 1482 1509 1466 1412 1083 986 1021 894 1300 1420 1358 1427 1482 1482 1497 1501 1474 1528 1586
1663 1586 1555 1605 1582 1602 1470 1389 1226 1323 1648 1617 1366 1199 1389 1389 1354 1451 1408 1427 1516 1559 1586 1547
